"filename", "language", "Python", "comment", "blank", "total"
"e:\Deeponomics\src\__init__.py", "Python", 0, 0, 1, 1
"e:\Deeponomics\src\crud.py", "Python", 404, 36, 80, 520
"e:\Deeponomics\src\database.py", "Python", 17, 0, 5, 22
"e:\Deeponomics\src\gui\ceo_widget.py", "Python", 83, 4, 15, 102
"e:\Deeponomics\src\gui\financials_widget.py", "Python", 72, 0, 18, 90
"e:\Deeponomics\src\gui\main_window.py", "Python", 79, 0, 13, 92
"e:\Deeponomics\src\gui\market_data_widget.py", "Python", 59, 3, 11, 73
"e:\Deeponomics\src\gui\portfolio_widget.py", "Python", 66, 3, 11, 80
"e:\Deeponomics\src\gui\trading_widget.py", "Python", 177, 5, 30, 212
"e:\Deeponomics\src\gui_main.py", "Python", 10, 1, 2, 13
"e:\Deeponomics\src\main.py", "Python", 191, 4, 28, 223
"e:\Deeponomics\src\models.py", "Python", 111, 9, 28, 148
"e:\Deeponomics\src\schemas.py", "Python", 66, 1, 16, 83
"e:\Deeponomics\src\services\order_matching.py", "Python", 234, 13, 53, 300
"Total", "-", 1569, 79, 311, 1959
